,_id,Customer Id,Artist Name,Artist Reputation,Height,Width,Weight,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location,Scheduled Date,Delivery Date,Customer Location,Cost
0,66882e38ec1852b2cc2d161e,fffe3600370035003100,Laura Miller,0.07,8.0,5.0,237.0,Clay,4.96,21.18,No,No,No,Roadways,Yes,Working Class,Yes,03/09/15,03/08/15,"Bowmanshire, WA 19241",-154.29
1,66882e38ec1852b2cc2d1620,fffe3900320038003400,Rosalyn Krol,0.15,17.0,6.0,324.0,Aluminium,3.18,11.94,Yes,Yes,Yes,Airways,No,Working Class,No,12/18/16,12/14/16,"Aprilside, PA 52793",-159.23
2,66882e38ec1852b2cc2d1622,fffe3800360033003700,David Hawes,0.64,17.0,9.0,7264.0,Brass,8.26,90.67,No,Yes,No,Roadways,No,Working Class,No,06/05/16,06/02/16,"South Matthew, WV 76033",-1536.66
3,66882e38ec1852b2cc2d1629,fffe3400370033003400,James Davis,0.54,26.0,9.0,,Wood,6.47,17.55,No,Yes,Yes,,No,Working Class,No,09/16/18,09/17/18,"West Shannonside, WA 15898",-334.98
4,66882e38ec1852b2cc2d1636,fffe3400350031003200,Chris Gomez,0.2,25.0,9.0,7901.0,Brass,8.56,93.59,No,No,No,Waterways,No,Working Class,Yes,10/03/17,10/04/17,"West Raymondfurt, VT 08481",-547.81
5,66882e38ec1852b2cc2d1638,fffe320038003600,Marian Castillo,0.51,16.0,8.0,63720.0,,151.19,59.22,No,No,Yes,,No,Wealthy,Yes,05/23/18,05/23/18,"Justinmouth, MN 41168",-1087.36
6,66882e38ec1852b2cc2d1639,fffe3100300038003400,Cheyenne Witt,0.67,17.0,6.0,182.0,Wood,6.0,11.04,No,No,No,,No,Wealthy,No,02/07/16,02/08/16,"Olsonport, CO 96580",-280.22
7,66882e38ec1852b2cc2d1645,fffe3100320036003700,James Chessman,0.58,,5.0,71.0,Aluminium,4.28,19.83,No,No,No,,No,Working Class,Yes,09/14/16,09/16/16,"Perezfort, RI 47397",-205.19
8,66882e38ec1852b2cc2d1627,fffe380031003700,Stacey Carlozzi,0.29,32.0,9.0,,Stone,1800.96,56.04,No,No,Yes,Airways,No,Working Class,No,03/01/16,03/01/16,"Jacquelinemouth, WA 65740",-4106.98
9,66882e38ec1852b2cc2d162a,fffe310033003100,Patricia Crosslin,0.69,21.0,6.0,3954.0,Brass,14.03,16.43,Yes,No,Yes,Waterways,No,Working Class,No,04/30/18,05/03/18,"Kruegerchester, TX 85901",-359.72
10,66882e38ec1852b2cc2d162c,fffe3600310039003300,Esther Simmons,0.27,10.0,4.0,11909.0,Stone,29.47,28.18,Yes,No,No,Waterways,No,Working Class,No,04/29/19,04/26/19,"Jimenezfurt, WY 87107",-329.2
11,66882e38ec1852b2cc2d162d,fffe3800350033003500,Pete Oh,0.1,37.0,9.0,239463.0,Marble,771.98,64.64,No,No,No,Roadways,Yes,Working Class,No,09/23/18,09/22/18,APO AE 89114,-1924.3
12,66882e38ec1852b2cc2d1631,fffe320030003900,Laura Price,0.11,,9.0,216919.0,Marble,263.03,46.56,Yes,No,Yes,Waterways,No,Working Class,No,07/06/17,07/06/17,"East Stephanie, WY 49027",-708.99
13,66882e38ec1852b2cc2d1640,fffe3800320035003100,Amber Gutierrez,0.23,16.0,8.0,358.0,Aluminium,3.26,13.82,Yes,No,No,Airways,No,Wealthy,Yes,10/15/17,10/12/17,"Finleyville, WV 40409",-179.32
14,66882e38ec1852b2cc2d1646,fffe3400390034003300,George Trovillion,0.86,49.0,17.0,196893.0,Brass,116.3,81.85,Yes,No,Yes,Waterways,No,Working Class,No,01/26/18,01/24/18,"Andrewtown, LA 46069",-5364.93
15,66882e38ec1852b2cc2d1647,fffe380032003200,Constance Anderson,0.27,6.0,5.0,355.0,,3.14,15.04,No,No,Yes,Roadways,No,Wealthy,,09/11/16,09/11/16,"Port Zacharychester, AR 48147",-181.02
16,66882e38ec1852b2cc2d1650,fffe3100370031003700,Susan Macdonald,0.98,15.0,7.0,3872.0,Brass,5.49,20.04,Yes,Yes,No,Airways,No,Wealthy,Yes,02/28/19,03/04/19,"Lake Brandon, WY 10319",-963.88
17,66882e38ec1852b2cc2d1651,fffe3700310038003400,Pauline Taylor,0.3,22.0,9.0,345055.0,Stone,365.28,54.25,Yes,No,No,Waterways,No,Working Class,No,11/22/15,11/20/15,"Robertburgh, IA 04749",-1297.25
18,66882e38ec1852b2cc2d1624,fffe3800330032003900,Arnold Reel,0.0,6.0,4.0,108.0,Clay,3.98,19.76,Yes,No,No,Waterways,Yes,Working Class,Yes,08/27/18,08/23/18,"Lisaville, ND 43925",-160.1
19,66882e38ec1852b2cc2d1633,fffe3600360032003400,Georgia Andrus,0.57,29.0,9.0,745770.0,Stone,3403.92,30.87,Yes,Yes,Yes,Airways,No,Working Class,No,11/15/18,11/13/18,"Dudleyview, NM 25088",-39680.72
20,66882e38ec1852b2cc2d1635,fffe36003800,Mark Davis,,10.0,4.0,174.0,,6.63,19.61,Yes,No,No,Waterways,No,Working Class,No,06/10/16,06/13/16,FPO AP 74160,-279.16
21,66882e38ec1852b2cc2d1637,fffe3400300031003000,Nicole Bice,0.47,28.0,15.0,985.0,Aluminium,6.76,19.83,No,No,Yes,Roadways,No,Working Class,No,02/05/17,02/01/17,"Lake Bradleyside, IA 95560",-371.82
22,66882e38ec1852b2cc2d163f,fffe3200380038003500,Alejandro Reyes,0.68,8.0,5.0,301.0,Clay,4.38,20.36,Yes,No,No,Waterways,Yes,Working Class,No,04/01/18,03/31/18,"Lake Anthony, OK 74169",-280.42
23,66882e38ec1852b2cc2d1644,fffe3700330031003500,Luna Jones,0.93,29.0,8.0,7757.0,Bronze,24.29,78.75,Yes,No,No,Airways,No,Working Class,No,04/07/17,04/07/17,FPO AA 77937,-2944.95
24,66882e38ec1852b2cc2d1648,fffe3500300032003700,Rene Anderson,0.17,20.0,7.0,3669.0,Bronze,5.13,11.07,No,No,No,,No,Working Class,Yes,09/29/18,09/28/18,"North Trevorburgh, DE 50456",-152.23
25,66882e38ec1852b2cc2d1649,fffe3400300035003900,Michael Johnson,0.54,36.0,,61696.0,Brass,61.6,48.17,No,No,Yes,,No,Working Class,No,05/07/17,05/11/17,DPO AE 21619,-1731.53
26,66882e38ec1852b2cc2d164a,fffe3800390035003300,Verla Vidinha,0.07,9.0,4.0,74.0,Clay,6.77,11.75,No,No,Yes,Roadways,Yes,Working Class,Yes,04/02/15,03/31/15,"Fritzborough, ID 36011",-137.87
27,66882e38ec1852b2cc2d1621,fffe3300390039003900,Tracy Francis,0.99,46.0,19.0,1178.0,Wood,6.16,16.88,No,Yes,No,,No,Wealthy,No,08/28/15,08/26/15,"Maddenberg, AL 43096",-1922.78
28,66882e38ec1852b2cc2d1632,fffe3900360035003300,John Blair,0.66,9.0,5.0,184.0,Aluminium,6.9,10.48,No,No,No,Roadways,No,Working Class,No,11/10/16,11/07/16,FPO AE 03279,-244.61
29,66882e38ec1852b2cc2d1634,fffe3200320035003600,Ma Sova,0.43,24.0,8.0,261562.0,Marble,1562.1,91.58,Yes,No,No,Waterways,No,Working Class,No,12/31/16,12/31/16,"North Elizabeth, AR 06294",-2296.74
